suffix,n
beta-11,38
rc1.1,38
v20070627-1030,38
g,38
pre,38
RC2-2,38
124,38
m.1,38
23-f4a534b,38
k,37
45,37
17,37
Beta03,37
h,37
BETA5,37
70,37
113,37
79,37
28-e8b4996,37
1-e12a845,37
b,36
beta0,36
CR4,36
n,36
M3-1.1,36
alpha21,36
play26,36
dse,36
225,36
Alpha-8,36
22-1cbf71e,36
i,35
j,35
wso2v2,35
wso2v1,35
wso2v19,35
update21,35
update18,35
update19,35
update23,35
6.6.1,35
20170417165056-719dc83,35
prelude-b28,34
18,34
Beta06,34
EA2,34
jbossorg-2,34
M2-1,34
M.5,34
corda,34
cats-M1,34
cats-M2,34
RPM,34
178,34
5-98f2868,34
pre0,34
1.2,33
milestone6,33
milestone3,33
pre-alpha-1,33
Beta4,33
o,33
m,33
M32,33
M.4,33
M33,33
SNAP5,33
rms5.19,33
227,33
1013,33
dev,32
preview,32
G1M3,32
beta-13,32
b012,32
b010,32
Beta-3,32
p,32
preview1,32
rc12,32
jre7.1,32
M11-followup,32
91,32
4-d5e5531,32
0-8404911,32
29-2e6570e,32
41-477d541,32
1-2572d9c,32
4-97ec0e8,32
alpha-43,31
ALPHA-9,31
ALPHA-12,31
cr-2,31
2013Jan04,31
HBase-1.0,31
PETALS-1,31
preview2,31
2.6.0,31
rms5.18,31
X14,31
X16,31
X18,31
X10,31
X15,31
X11,31
X13,31
X9,31
20170222075022-d6a08b0,31
Alpha-9,31
094744,31
095554,31
095204,31
181922,31
alpha-48,30
alpha-47,30
m14,30
alpha-44,30
alpha-42,30
alpha-40,30
alpha-41,30
tio-http,30
tio-websocket,30
cldr30,30
rt,30
alpha-45,30
HBase-1.3,30
20180301,30
M6-JONAS,29
Alpha7,29
EA3,29
test,29
wso4v18,29
wso3v18,29
111,29
alpha-88,29
alpha-96,29
alpha-84,29
alpha-77,29
alpha-63,29
alpha-73,29
alpha-79,29
alpha-83,29
alpha-81,29
alpha-86,29
alpha-54,29
alpha-92,29
alpha-87,29
alpha-71,29
alpha-62,29
alpha-75,29
alpha-95,29
alpha-82,29
X17,29
20161219103851-1c1f07b,29
alpha-53,29
alpha-59,29
alpha-55,29
alpha-085,29
alpha-46,29
alpha-52,29
alpha-56,29
alpha-58,29
alpha-60,29
alpha-57,29
alpha-61,29
alpha-67,29
alpha-64,29
alpha-66,29
alpha-65,29
alpha-70,29
alpha-69,29
alpha-72,29
alpha-78,29
alpha-68,29
alpha-74,29
alpha-80,29
alpha-76,29
alpha-91,29
alpha-89,29
alpha-90,29
alpha-93,29
alpha-94,29
b180830.0438,29
17-7d454d7,29
48-e58183c,29
ARTERY-M1,29
milestone6.6,28
milestone6.4,28
milestone6.3,28
milestone6.2,28
milestone6.1,28
milestone5.5,28
milestone5.6,28
milestone5.4,28
milestone5.1,28
milestone5.2,28
milestone3.5,28
milestone5.3,28
milestone3.4,28
milestone3.2,28
milestone3.3,28
milestone3.1,28
milestone-4.4,28
milestone-4.3,28
milestone-4.2,28
milestone-4.1,28
milestone-4,28
Beta05,28
ansell,28
Beta04,28
