suffix,n
v20130910-1609,1
v20070319,1
fuse,1
v20070607-0010,1
I20070614-0800,1
v20070530a,1
I20070606,1
I20070620,1
I20070531,1
v20140318-2214,1
v20140424-0053,1
v20140224-1527,1
v20140207-1251,1
v20130402-1505,1
I20070608-1100,1
v20070604,1
v20140606-1445,1
v20070531-1800,1
v200705250844,1
v20070116,1
rtext-1.4.1,1
r118,1
M3-dev,1
svn293059-geronimo,1
public-draft-20060502,1
public-draft-20060118,1
public_review,1
20051010.000410,1
20051010.000335,1
20051007.105005,1
20051007.104951,1
dev2,1
beta-1.20030111.103454,1
20050613,1
20050730.150751,1
20050730.150730,1
20050730.150641,1
20050730.150620,1
20050730.150253,1
20050730.150233,1
20050730.145903,1
20050730.145842,1
20050614.183117,1
20050614.182609,1
20050614.181713,1
20050614.181330,1
20050614.173638,1
20050614.173232,1
20050614.170136,1
20050614.170013,1
20050614.061524,1
20050614.061438,1
20050614.061333,1
20050614.061252,1
20050614.060538,1
20050614.060455,1
20050614.055915,1
20050614.055836,1
20050612.221856,1
20050612.221412,1
beta1-dev,1
20050612.220442,1
20050612.215905,1
20050612.210738,1
20050612.210315,1
20050612.201708,1
20050612.201246,1
20050609.235337,1
20050609.235255,1
20050609.235155,1
20050609.235129,1
20050809.1515,1
20050609.234516,1
20050609.234429,1
20050609.233836,1
20050615.083700,1
20050609.233759,1
20050524.034300,1
20060721.044818,1
20050701.191004,1
20050701.190921,1
20060614,1
20060717,1
patch-20090427,1
FCS-full,1
fop-0.20-5,1
dev.20030107.163533,1
beta-3.javadoc,1
beta-8.20030202.153859,1
beta-8.20030202.153715,1
beta-8.20030202.153444,1
beta-8.20021007.010812,1
dev.20020614.122300,1
b1.1,1
20030804.000000,1
MR1,1
cassandra-1,1
20090215,1
407.jdbc3,1
r706899_3,1
SONATYPE-653272,1
beta-rc7,1
beta-3-j4,1
RC1-j4,1
20060106,1
dev-10Sep06,1
alpha-10-SNAPSHOT,1
801.jdbc4,1
701.jdbc4,1
min,1
186,1
patched-1.0,1
1.2-2.4,1
jdk15,1
RC2.0.1,1
nonstandard,1
378,1
rtext-1.4.1-2,1
build-20080430,1
dtddoc,1
all,1
uber,1
SNAPSsHOT,1
smoothgallery2.0,1
603.jdbc3,1
507.jdbc3,1
scala280-SNAPSHOT,1
SPRINGME-774506,1
SPRINGME-774505,1
20041230,1
beta-2a,1
dev-20020919,1
1.5b5,1
dev-1,1
promoted-b82,1
promoted-b76,1
promoted-b71,1
promoted-b72,1
edr2-20050513,1
public-draft-20060327,1
public-draft-20050623,1
20090302111651,1
20050507,1
20070314,1
47e4af3,1
RC-2.0.1,1
v200709061102,1
ISSUE418,1
BETA15-tomdz-201108081730,1
ec,1
SNASPHOT,1
201106101300,1
201003102038,1
201003191900,1
hudson-20080725,1
hudson-20071224,1
3.4.9,1
3.4.8,1
3.4.11,1
4.0.5,1
3.4.7,1
4.0.6,1
3.8.2,1
3.4.10,1
3.2.5,1
3.2.4,1
3.8.3,1
pre-cia,1
pre-cia-8807,1
pre-cia-r129,1
demo-3,1
demo-4,1
r137,1
20080914.225453,1
v20090111,1
0.7.0-rc4-1,1
0.2.3,1
0.2.1,1
0.2.0,1
0.2.2,1
0.2.4,1
md-3,1
beta-3.20021217.022420,1
702,1
dev-25May05-log4j,1
stable-bin,1
jsr-01,1
20050905,1
JBoss-4.0.2,1
0.2.6,1
0.2.5,1
0.2.7,1
408.jdbc3,1
r699049,1
20090813101732-vysper,1
huynhjl,1
v20090520,1
v20080604-1400,1
v20080605-1900,1
v_883_R34x,1
20090514.211946-1,1
21092010,1
r468346-SNAPSHOT,1
20070108,1
r631613,1
r631610,1
20080630.163621-65,1
r605854-patched,1
incubating_3,1
incubating_4,1
incubating-M2.1_1,1
1_3,1
alpha6_1,1
1_2,1
dev2_3,1
dev1_3,1
dev1_1,1
dev2_4,1
r755222_1,1
r706900_3,1
r706899_5,1
r706899_1,1
r706899_4,1
incubating_5,1
r562808,1
alpha-2.1,1
alpha-8-SNAPSHOT,1
mahout,1
append-r1056497,1
G20100308,1
G20090207,1
20060801,1
20051009.200408,1
20050920.034927,1
20050920.034911,1
20050920.032457,1
20050917.231155,1
20051009.200321,1
20050913.005121,1
20050917.231140,1
20051009.200227,1
20051009.200214,1
20050920.034820,1
20050920.032405,1
20050917.231100,1
20050913.005043,1
20050920.035052,1
20051009.200641,1
20050920.032605,1
20050920.035022,1
20051009.200629,1
20050920.032552,1
20050913.005215,1
20050917.231259,1
20050920.035001,1
20050917.231235,1
20050920.034946,1
20050913.005153,1
20050913.005144,1
20051009.200114,1
20050920.034752,1
20051009.200043,1
20050920.034736,1
20050920.032306,1
20050917.230945,1
20051009.200017,1
20050920.034713,1
20050920.032248,1
20050913.004946,1
20050917.230925,1
20050917.230911,1
20050920.032234,1
20050917.230855,1
20050917.230841,1
20051009.195717,1
20050920.034459,1
20050920.032035,1
20050917.230558,1
20050913.004751,1
20050913.004817,1
20050920.034640,1
20051009.195910,1
20050920.034626,1
20050917.230819,1
20050920.032159,1
20050913.004918,1
20051014.153305,1
20051014.153215,1
20051014.153148,1
20051014.153133,1
20051009.202622,1
20051014.153100,1
20051005.201401,1
20051005.201304,1
20050921.171342,1
20050921.165443,1
20050921.151014,1
20050920.030306,1
20051009.195836,1
20050920.034603,1
20051009.195814,1
20050920.032134,1
20050917.230734,1
20050917.230707,1
20050913.004844,1
RC2-SNAPSHOT,1
beta-3.20020715.042250,1
dev-20021111,1
dev-20030625,1
alpha-1.20020912.045138,1
20050923.015004,1
dev-14,1
20050908.020017,1
20050908.005549,1
20050923.015509,1
20050908.005713,1
20050908.020150,1
20050923.014709,1
20050908.015941,1
20050923.014534,1
20050908.005507,1
20050923.015338,1
20050908.005638,1
20050908.020038,1
20050908.020107,1
dev-20030825,1
20050923.020029,1
20050908.020347,1
20050908.020327,1
20050908.005752,1
20050923.013739,1
20050923.013917,1
20050908.003808,1
20050923.014245,1
20050908.003749,1
20050716,1
20050913.134148,1
20050913.134207,1
20050912.135613,1
20050713,1
rc2-dev,1
60e,1
59,1
09b,1
58e,1
58c,1
50a,1
41d,1
60d,1
58d,1
41c,1
beta-1a,1
b2-20021124,1
702.jdbc4,1
504.jdbc4,1
603.jdbc4,1
a-5,1
801.jdbc3,1
702.jdbc3,1
606.jdbc3,1
404.jdbc3,1
507.jdbc4,1
312.jdbc3,1
dev-rd4,1
RC1-SNAPSHOT,1
M4-SNAPSHOT,1
20110531,1
WSPreview2,1
WSPreview3,1
HTML5Preview9,1
HTML5Preview6,1
HTML5Preview10,1
universal,1
20100629,1
20100319,1
1706,1
1603-000,1
20080115,1
alpha2-incubating,1
sonatype-fork-v0002,1
SONATYPE-221,1
sonatype-1,1
sonatype-2,1
GUICE,1
RC2-sonatype,1
NEXUS-3758,1
v0005,1
v0004,1
beta-3-SONATYPE,1
RC2-SONATYPE,1
SONATYPE-708675,1
beta-4.3,1
FLEXMOJOS-r418,1
JBoss-4.0.2_03,1
318.jdbc3,1
1.0.2b4,1
for-scala-2.8.0.final,1
2.8.0.Beta1-RC1,1
2.8.0.Beta1-RC4,1
2.8.0.Beta1-RC3,1
debug8,1
M1-RCL3,1
M1-RCL2,1
M1-RCL1,1
r321_v20060905-R4CM1Znkvre9wC-,1
v_677_R32x,1
v200707090100,1
R321_v20060920,1
v20070607-1300,1
v20070507,1
v20070620,1
v20070529,1
v20070502-7n7LECYEOFjsvtv1NlGpLb,1
R32x_v20060814,1
R32x_v20060717,1
v20070516,1
v200706071520-318Y9oA55P5M5P8JA5,1
v200706131235,1
v200706071520,1
v200706071712,1
v200706071450-10-7w311817312619,1
R32x_v20060907,1
v20070425,1
v20070430,1
v20060531,1
dev-20050313,1
RC00,1
20080905.033643-1,1
SNAPSHOT-20110319,1
SNAPSHOT-20110926,1
SNAPSHOT-2011-06,1
SNAPSHOT-2011-07,1
cs-01,1
coos3,1
coos1,1
bsd,1
build214,1
rc5-SNAPSHOT,1
RC2.4,1
RC2-RELEASE,1
08182009,1
start-8469,1
beta-patchcl,1
alpha-2-cl_20091001,1
alpha-2-cl_20090204,1
dp4,1
20110124,1
20071126,1
beta-5-PATCHED,1
beta-2-PATCHEDv3,1
beta-2-PATCHEDv2,1
beta-2-PATCHED,1
XTEXT-PATCHED,1
atlassian-3,1
patch7,1
1.0beta,1
rev6,1
hudson-20100305,1
hudson-20090508,1
hudson-20100217,1
hudson-20100210,1
hudson-20100211,1
jsr-06,1
jenkins-2,1
1088,1
alpha-20070426,1
hudson-24,1
hudson-21,1
hudson-22,1
hudson-19,1
hudson-18,1
hudson-17,1
hudson-16,1
hudson-15,1
hudson-13,1
hudson-12,1
hudson,1
preRelease1,1
hudson3a,1
hudson-20100215,1
jonas-patch,1
2008.07.10,1
M3-SNAPSHOT,1
RC4-SNAPSHOT,1
hudson-20100114,1
hudson-20091221,1
hudson-20090709,1
hudson-20090227,1
hudson-20090322,1
hudson-20081031,1
hudson-20090222,1
hudson-20080826,1
hudson-20071129,1
hudson-20091217,1
504.jdbc3,1
PFD-1,1
build1,1
PFD-3,1
native-2.0.4.GA,1
jboss-update1,1
JASIG_PATCH,1
groovy-1.7-SNAPSHOT,1
JBoss-4.0.1_01,1
JBoss-4.0.0.Beta3A,1
promoted-b86,1
37.2435,1
JBoss-4.0.0.Beta3,1
JBoss-4.0.0.Beta2-b02,1
15.1269,1
15.1196,1
JBoss-4.0.0.Beta1-b01,1
JBoss-4.0.0.Alpha3-b01,1
029,1
025,1
026,1
027,1
023,1
024,1
021,1
018,1
019,1
017,1
002-1,1
011-1,1
028,1
022,1
swdp-b,1
swdp-c,1
swdp-a,1
NIGHTLY_20060227,1
u1,1
201007271250,1
356167,1
20051115174934,1
20040908,1
beta-13-dev,1
beta-8.20021121.204924,1
d-16Jun,1
lucene,1
alpha-257,1
alpha-249,1
alpha-247,1
alpha-244,1
alpha-246,1
alpha-243,1
alpha-236,1
alpha-239,1
alpha-232,1
alpha-231,1
alpha-230,1
alpha-235,1
alpha-228,1
alpha-227,1
alpha-229,1
alpha-224,1
alpha-226,1
alpha-219,1
alpha-220,1
alpha-214,1
alpha-218,1
alpha-212,1
alpha-213,1
alpha-216,1
alpha-208,1
alpha-205,1
alpha-196,1
alpha-203,1
alpha-207,1
alpha-193,1
alpha-195,1
alpha-187,1
alpha-189,1
alpha-191,1
alpha-185,1
alpha-184,1
alpha-182,1
alpha-178,1
alpha-181,1
alpha-177,1
alpha-179,1
alpha-176,1
alpha-175,1
alpha-174,1
alpha-171,1
alpha-168,1
alpha-170,1
alpha-172,1
alpha-169,1
alpha-167,1
alpha-165,1
alpha-164,1
alpha-163,1
alpha-159,1
alpha-158,1
alpha-161,1
alpha-157,1
alpha-154,1
alpha-152,1
alpha-151,1
alpha-155,1
alpha-153,1
alpha-162,1
alpha-149,1
alpha-147,1
alpha-146,1
alpha-144,1
alpha-145,1
alpha-148,1
alpha-143,1
alpha-141,1
alpha-140,1
alpha-138,1
alpha-139,1
alpha-137,1
alpha-134,1
alpha-135,1
alpha-133,1
alpha-131,1
alpha-129,1
alpha-127,1
alpha-126,1
alpha-130,1
alpha-124,1
alpha-128,1
alpha-123,1
dev-6,1
dev-5,1
dev-13,1
dev-10,1
dev-12,1
dev-11,1
beta-1.20030104.151258,1
beta-1.20030104.103227,1
beta-1.20030104.141847,1
beta-1.20030104.095958,1
beta-4.20021120.034859,1
beta-4.20030104.110205,1
beta-4.20021210.123241,1
beta-4.20021231.034645,1
beta-4.20021222.042553,1
beta-4.20021231.013337,1
beta-4.20021113.192421,1
beta-4.20021023.153932,1
beta-4.20021105.013628,1
beta-4.20021017.053011,1
beta-4.20021023.094006,1
beta-4.20021012.035615,1
beta-4.20021008.112820,1
beta-4.20021002.113628,1
beta-4.20021008.094131,1
beta-4.20020923.123659,1
beta-3.20020913.120853,1
beta-4.20020924.123511,1
beta-4.20021002.050543,1
beta-3.20020911.045717,1
beta-3.20020910.061420,1
beta-3.20020820.043616,1
beta-3.20020828.032644,1
beta-3.20020828.023547,1
beta-3.20020819.043231,1
alpha2.20020903.070259,1
dev-3.20030603.101200,1
beta-1.20020920.020057,1
beta-1.20020910.124754,1
varargs,1
beta1d,1
promoted-b01-promoted,1
promoted-b88,1
promoted-b87,1
beta-2-patched,1
38.2770,1
42.2568,1
31.2172,1
27.2042,1
26.1980,1
25.1912,1
23.1819,1
20.1683,1
21.1721,1
17.1359,1
18.1540,1
18.1640,1
15.1224,1
18.1449,1
15.1183,1
15.1161,1
14.1084,1
40.2508,1
38.2576,1
36.2396,1
30.2311,1
SAILFIN,1
ignore,1
JBoss-4.0.1_03,1
JBoss-4.0.1,1
build-20080427,1
20081121,1
20100913,1
build-20080812,1
build-20080806,1
build-20080804,1
build-20080803,1
build-20080724,1
JBoss-4.0.2_02,1
iirekm,1
v200708281831,1
v20070524A,1
v200708232226,1
M20060830-0800,1
M20060906-0800b,1
I20070516,1
M20060915-1030,1
r321_v20060802,1
M200608151725,1
M20060831,1
I20070604,1
I20061208,1
I200606011710,1
v3235,1
I200606051140,1
I20070426,1
I20070615-1300,1
R32x_v200608101155,1
r321_v20060823-6vYLLdQ3Nk8DrFG,1
v20070530A,1
v20060915-0800,1
v20070607-7N7M-DUUEF6Ez0H46IcCC,1
v20070614-0800,1
v20070621,1
v20060810-0800,1
I20070530-0100,1
v200706071450-32-9oA55P5M8C8KCK,1
v200709190403,1
v200708222303,1
v200708161939,1
r321_v20060810,1
I20070525,1
M20060908-1000,1
PRD,1
901.jdbc4,1
itmill,1
NESS-4,1
2.10.0-RC2,1
2.10.0-RC1,1
20120112,1
build215,1
701.jdbc3,1
SNAPSHOT-20120609,1
HBASE-1,1
901-1.jdbc4,1
cdh3-RC1,1
cdh4-RC1,1
v2,1
RC2_jboss-SP1,1
B4,1
kuali-4,1
patch8,1
with-dic,1
cdh3-RC2,1
hadoop-2.0,1
u6-unofficial-b24,1
unofficial-b27,1
fuse-00-43,1
20110622,1
mr1-cdh4.1.2,1
cdh4-RC3,1
cdh3-RC3,1
NESS-7,1
r88,1
jbossas-1,1
801-1.5,1
b-105,1
993,1
56.2852,1
SNASHOT,1
append-r964955-1240,1
carrot001,1
20120302,1
RC1a,1
UNOFFICIAL-ROBERTO-RELEASE,1
1443,1
1376,1
2.10.0-M5-B2,1
2.10.0-M5-B1,1
2.10.0-M6-B2,1
2.10.0-M6-B1,1
update-6,1
1450,1
1449,1
1.0.x,1
2.10.0-RC5,1
jenkins-20120928,1
jenkins-20111212,1
jenkins-4,1
wip9,1
wip6-scala292-multischeme,1
wip5-multischeme,1
cdh4-RC5,1
009,1
osaf20071017,1
beta5-osaf-20080710,1
osaf-20060508,1
jbossas-2,1
801.jdbc4-patched-play,1
build006,1
20130121,1
beta-5-parallel,1
trygvis-1,1
20120408,1
build007,1
1576,1
patched-play-cobertura,1
20110403,1
v8,1
6.0.02_ea_b02.2,1
rev7,1
20130403,1
2013.02.06-1,1
j5-1,1
beta6-1,1
1798,1
1002.jdbc4,1
on.2,1
patch4,1
1806,1
1803,1
NESS-1.1,1
0.6.1,1
NESS-2,1
BETA2.0-RC1,1
1586,1
RC1-cdh3,1
incubating.bundle2,1
beta1.bundle,1
aperture-0003,1
aperture.bundle,1
1003-jdbc4,1
0.6.3,1
RC1-cdh4,1
cdh3u0,1
rc5b,1
r82,1
r83,1
001-3,1
ingenieux,1
1211,1
1236,1
aquafold,1
M19.1,1
rc1.000,1
kuali-3,1
bv16,1
update-10,1
TK-1.0,1
604.jdbc3,1
20120918,1
patched-play-siena,1
20100622,1
b6-20111107,1
20130305,1
NING-15.0.0,1
alpha-5.1,1
EG,1
RC4-0.7,1
RC4-2.3,1
b02-jbossorg-2,1
b09-jbossorg-4,1
2.17,1
201110252300,1
SNAPSHOT.121026,1
201110292322,1
201110312110,1
alpha-13.99.0.1,1
201110311920,1
0.2.9,1
901.jdbc3,1
SNAPSHOT.121130,1
20110824.154750-2,1
801-1.4,1
CDH3-SNAPSHOT,1
902.jdbc4,1
NIO,1
rc1.001,1
1503,1
1376-2,1
beta-09,1
1513,1
M2-1.2,1
v20110520-1406,1
b07-preliminary,1
wip11,1
wip4,1
snap3,1
v20120319-0555,1
M4u1,1
1102-jdbc4,1
stratosv2,1
jhyde,1
drill-r20,1
drill-r1,1
drill-r7,1
b140109.1041,1
1203-jdbc41,1
1201-jdbc41,1
0011,1
1203-jdbc42,1
0.9,1
build220,1
0-g0000000,1
1204-jdbc42,1
b08-jbossorg-1,1
1204-jdbc41,1
2268,1
20151022-113908-7fb0e653fd,1
r507,1
SNAPSHOT-beta3,1
wip15,1
pfn.1,1
pfn,1
1102-jdbc41,1
build217,1
2597,1
H2O-CUSTOM,1
h2o-custom,1
b05-jbossorg-1,1
hotfix.1,1
MULE-008,1
v20140107,1
v20140110-1610,1
0.12.10,1
1101-jdbc4,1
incubating4,1
incubating3,1
1200-jdbc41,1
20101024.214840-60,1
spark1.3.1,1
20150605053008+0000,1
20140506.192324-8-repackaged,1
2090,1
2055,1
2040,1
milestone-13,1
sp5,1
shaded,1
thrift,1
jbossorg-5,1
20150617,1
sp6-RC1,1
2015e,1
20150619-173733-3bcd390afa,1
2143,1
2132,1
2093,1
sbt-c5d1b95fdcc1e1007740ffbecf4eb07abc51ec93,1
v201004271640,1
RCK,1
RCL,1
sp6-RC3,1
RCJ,1
rev1642314,1
sp6-RC2,1
expandPartial-150603,1
R1681048,1
S1526,1
play-1,1
atlassian-2,1
dev-r2644-2,1
dev-r2644-1,1
build219,1
2168,1
2170,1
2163,1
2153,1
2149,1
2145,1
1-3,1
20140918,1
20140728,1
1205-jdbc42,1
1206-jdbc4,1
1206-jdbc42,1
1206-jdbc41,1
patch2,1
kuali-1,1
200707131415,1
200706071450,1
EDR1,1
mr1-cdh4.2.0,1
M1-2,1
201511221220.bdb6862,1
201511221242.078202e,1
relase,1
OG,1
2682,1
2672,1
3-1,1
beta-1-tweaked,1
20130918,1
0.14.0,1
1.2.0,1
RC1-NB80,1
preview.7,1
eclipsejdepend,1
hack23,1
1202-jdbc42,1
2692,1
2696,1
2694,1
2698,1
2690,1
RC5.6,1
RC5.4,1
RC5.2,1
RC5.3,1
RC5.5,1
3-2,1
1205-jdbc41,1
boom,1
deprecated.2,1
rc7-master-2ab3075,1
v20140520-1401,1
rc7-master-f376178,1
bowratic-tedium,1
rc-9,1
2.6.8,1
drill-r10,1
P2,1
dev-r2973-2,1
2743,1
2724,1
2726,1
2715,1
2706,1
2734,1
2717,1
2732,1
alpha.53,1
beta.70,1
deprecated.4,1
1101-jdbc41,1
20151214,1
SNAPSHOT-2,1
R1667281,1
CQ610-B0004,1
CQ610-B0001,1
2534,1
2536,1
2530,1
2532,1
2528,1
2526,1
0.1-1,1
pr-2,1
sbt-927bc9ded7f8fba63297cddd0d5a3d01d6ad5d8d,1
1201-jdbc4,1
edr2,1
cj-1.0,1
20150929-163701-ccbac24726,1
20150921-144442-fccdcb4615,1
2549,1
2551,1
2545,1
2538,1
rc.70,1
1204-jdbc4,1
1104-jdbc4,1
1104-jdbc41,1
v20140507,1
edr1,1
SNAPSHOT-beta1,1
0014,1
2559,1
2553,1
alpha.41,1
201601092057.74e0d3b,1
SNAPSHOT.352,1
b02.LIFERAY-PATCHED-1,1
EA3.1,1
2803,1
2807,1
ZAL-2,1
master-91291ed,1
v20131218-1515,1
1.3.0,1
0.14.1,1
20160111.083258-14,1
201601120029.6e3772b,1
preview-0,1
testrelease-20,1
testrelease-25,1
testrelease-23,1
testrelease-22,1
testrelease-19,1
testrelease-24,1
1.1.x,1
R1658944,1
2853,1
2838,1
2855,1
2849,1
2-2,1
deprecated.8,1
rc-11,1
2.3.2,1
x,1
7.0.2-ffaa585,1
BETA24,1
wildfly-1,1
pr-1,1
1203-jdbc4,1
20150916,1
hadoop2_4,1
hadoop2_5,1
hadoop1_3,1
beta-bmp-9,1
2523,1
2454,1
2440,1
1ad38f3041,1
TYCHO-733848,1
1202-jdbc41,1
1202-jdbc4,1
1004-jdbc41,1
P1,1
rc3-RELEASE,1
expandPartial-150713,1
S1535,1
201508251955.0e1793b,1
201508231341.50eeae8,1
beta.36,1
2409,1
2404,1
2402,1
2400,1
sbt-d592b1b0f77cf706e882b1b8e0162dee28165fb2,1
2.6.4,1
0.12.9,1
b.1,1
SNAPSHOT.2,1
kzwang-beta1,1
milestone-25,1
2413,1
mapr-1501-r1,1
S1537,1
1205-jdbc4,1
nezha-0.1.0,1
2769,1
2772,1
2757,1
2765,1
2761,1
2753,1
2771,1
2747,1
3-3,1
3-4,1
alpha.55,1
alpha.50,1
deprecated.5,1
20151225021532-c7e405b,1
v20130814-1242,1
RC8-SNAPSHOT,1
2777,1
2780,1
rc.5-master-8758488,1
sbt-2cc8d2761242b072cedb0a04cb39435c4fa24f9a,1
sbt-39ece6f17e1af62c2e89a9d88b59c0c3aad56145,1
sakai,1
20151231,1
beta-bmp-10,1
stoloto,1
2.6.1-dabffc1,1
united,1
alpha.11,1
2.6.10,1
bt22,1
coveo1,1
gavioto,1
alpha.10.1,1
alpha.5.1,1
1204-jdbc42_1,1
20130428.202122-59,1
2.0-M1,1
beta-1103.1,1
2601,1
201511121648,1
incubation,1
20151102,1
1.0.1,1
0.13.1,1
1.0.2,1
0.13.0,1
alpha.46,1
alpha.45,1
alpha.44,1
0.10.5,1
0.10.4,1
S1503,1
RC1-OT-1,1
1100-jdbc41,1
9045f42e1634ad6f74edf826b9c7c61d1a495a38,1
9777,1
Beta-24,1
r11.0.0,1
sp1-RC3,1
sp1-RC2,1
sp1-RC1,1
2725,1
2719,1
20140718-946a7d39,1
2723,1
2727,1
2.5.4,1
pre-dr-b04,1
R1591843,1
play2.4-1,1
P5,1
sp1-RC5,1
sp1-RC6,1
sp1-RC7,1
sp1-RC4,1
2.5.6,1
2740,1
beta2-R1637316,1
20150129223832,1
S1505,1
u20,1
1470,1
1466,1
1468,1
1451,1
1445,1
play2.4-2,1
1200-jdbc4,1
1103-jdbc3,1
1103-jdbc4,1
1103-jdbc41,1
b20150201.1248,1
2760,1
2758,1
2755,1
jdk7,1
1861,1
1863,1
alpha.19,1
sp3-RC3,1
sp3-RC2,1
sp3-RC4,1
3255,1
3263,1
3264,1
5_1,1
beta-bmp-1,1
20150506-161852-56fa77a3e6,1
20150506-175515-8fc7635b56,1
milestone5a,1
7r2-5,1
1875,1
1878,1
1894,1
1865,1
1896,1
1888,1
alpha.22,1
sp3-RC5,1
3269,1
beta-bmp-2,1
S1520,1
7r2-6,1
1.9.20,1
4.5.3,1
7.3.0,1
5.5.149,1
4.1.2,1
1906,1
1911,1
1913,1
play-2.4.0-RC3,1
20180405.163901-2,1
cloudsoft.1,1
SM8,1
rc3-2,1
2017-03-24,1
19-rh,1
19.2-rh,1
19.2,1
BETA6-gatling-1,1
BETA20,1
BETA16,1
wso2v13,1
neo4j-2.1.4,1
java1.2,1
RC2-4lift2.1,1
RC2-lift,1
RC2-MsSql-beta,1
RC4_2010_02_11,1
RC4_fix_lift_876,1
RC6_2011-03-23,1
RCx-2.9.1RC1-to2.8.1,1
RC4_2010_02_05,1
RC7x,1
extended-types-poc2,1
extended-types-poc,1
bv3,1
dw0.7-cs2.0,1
dw0.7-cs2.1,1
build221,1
80737,1
hc425,1
beta.2-1,1
beta.7-2,1
rc.3-2,1
alpha.6-1,1
deprecated.9,1
deprecated-9,1
alpha.34,1
angular,1
rc2-master-94b197c,1
rc.5-master-7f01138,1
rc2-master-f6cf82d,1
rc.5-master-66065db,1
RC.18,1
alpha.6.1,1
paper,1
cosmo,1
journal,1
beta.30,1
src,1
master-f8f13a8,1
ACTICO-PATCH-1,1
feb9353279,1
41ff933289,1
label-suffix,1
beta4-label-suffix,1
beta2-ai,1
beta.2.2,1
beta57,1
beta58,1
Polymer-Leaflet,1
d,1
beta00006,1
cr.1,1
beta.2.0,1
npm,1
pre-alpha.3,1
3.3.6,1
beta.24,1
beta.39,1
beta.32,1
beta.28,1
beta.34,1
beta.38,1
beta.31,1
beta.5b,1
j5,1
p7-1,1
2013.02.06-3,1
2013.02.06-2,1
2013.02.06,1
beta.29-1,1
beta.29-2,1
alpha.5-2,1
alpha.8-2,1
alpha.4-3,1
3e15eecda4,1
rc4-master-06e7e99,1
alpha.9-3,1
requirejs,1
commonjs,1
beta.1.0.5,1
beta.1.3.5,1
beta.1.3.6,1
beta.2.0.7,1
rc.1.0.3,1
beta.1.1.2,1
beta.2.1.1,1
beta.1.0.8,1
beta.2.0.2,1
beta.1.1.1,1
beta.1.3.0,1
beta.1.1.5,1
beta.1.1.4,1
beta.1.1.6,1
beta.1.2.7,1
beta.3.0.6,1
beta.3.0.4,1
beta.2.0.3,1
beta.1.0.3,1
beta.1.0.0,1
beta.42,1
1.2.3,1
alpha.29,1
webpack,1
development,1
rc0-e172d19,1
PLACEHOLDER,1
3.2.1,1
b170201.1204,1
wmf-3,1
pr,1
jbossorg-4,1
m13-jbossorg-1,1
901.jdbc4_1,1
902.jdbc4_1,1
R32x_v20060919,1
incubating.wso2v1,1
wso2v20,1
get-simple-name,1
M2-dev,1
3-7,1
1-1,1
1-2,1
3-6,1
3-5,1
dev-31Oct04,1
3Nov04,1
greg-20050115,1
fenicesfa,1
beta-1.20020815.040849,1
SNAPSHOT-TEST,1
MVN-RC,1
201803281732,1
1485,1
1480,1
1487,1
1478,1
1528,1
1523,1
1567,1
1511,1
1520,1
1526,1
1541,1
1632,1
1587,1
1594,1
1595,1
1732,1
1643,1
1638,1
1770,1
1767,1
1780,1
1825,1
1778,1
1823,1
1830,1
1827,1
1813,1
1839,1
1845,1
1969,1
1921,1
1936,1
1981,1
1951,1
1997,1
2022,1
2006,1
2012,1
2000,1
1966,1
2019,1
2002,1
2028,1
2067,1
2032,1
2030,1
2176,1
2203,1
2219,1
2217,1
2174,1
2188,1
2177,1
2197,1
2225,1
2241,1
2244,1
2237,1
2248,1
2246,1
2315,1
2318,1
2320,1
2251,1
2325,1
2327,1
2349,1
2344,1
2397,1
2361,1
2359,1
2382,1
2585,1
2332,1
2663,1
2664,1
4027,1
4022,1
4050,1
4025,1
4039,1
4037,1
4044,1
4041,1
4078,1
4051,1
4053,1
4060,1
4055,1
4076,1
4092,1
4100,1
4101,1
4093,1
4098,1
4094,1
4080,1
4110,1
4111,1
4131,1
4116,1
4155,1
4157,1
4129,1
4176,1
4173,1
4182,1
4171,1
4164,1
4179,1
4174,1
4185,1
4196,1
4202,1
4197,1
4203,1
4187,1
4208,1
4210,1
4224,1
4221,1
4218,1
4223,1
4228,1
4231,1
4240,1
4233,1
4246,1
4242,1
4244,1
4247,1
4255,1
4260,1
4261,1
4257,1
4265,1
4269,1
4263,1
4278,1
4272,1
4305,1
4296,1
4282,1
4331,1
4330,1
4333,1
4342,1
4346,1
4344,1
2859,1
4352,1
2863,1
2876,1
4332,1
2874,1
2904,1
2950,1
2976,1
2948,1
2988,1
2867,1
2996,1
3001,1
3010,1
3020,1
3018,1
3026,1
3024,1
3022,1
3027,1
3037,1
3061,1
3104,1
3130,1
3135,1
3137,1
3140,1
3145,1
3160,1
3168,1
3162,1
3172,1
3176,1
3178,1
3183,1
3199,1
3187,1
3212,1
3202,1
3216,1
3228,1
3223,1
3219,1
3233,1
3281,1
3287,1
3273,1
3295,1
3277,1
3301,1
3285,1
3339,1
3348,1
3305,1
3326,1
3330,1
3352,1
3496,1
3356,1
3494,1
3450,1
3498,1
3581,1
3488,1
3562,1
3456,1
3486,1
3575,1
3516,1
3585,1
3489,1
3508,1
3579,1
3510,1
3495,1
3506,1
3734,1
3512,1
3526,1
3738,1
3739,1
3741,1
3793,1
3745,1
3768,1
3783,1
3795,1
3808,1
3815,1
3813,1
3811,1
3853,1
3819,1
3855,1
3857,1
