Ljakarta/enterprise/inject/Vetoed,70
Lorg/osgi/annotation/versioning/ProviderType,70
Lorg/apache/poi/util/NotImplemented,69
Ljakarta/inject/Singleton,69
Lcom/google/j2objc/annotations/Weak,68
Lorg/apache/spark/util/kvstore/KVIndex,68
Lcom/fasterxml/jackson/dataformat/xml/annotation/JacksonXmlProperty,67
Ljavax/persistence/Column,67
Lgroovyjarjarantlr4/v4/runtime/misc/Nullable,66
Lorg/osgi/service/component/annotations/Activate,66
Lnet/shibboleth/utilities/java/support/annotation/constraint/Unmodifiable,66
Ljavax/xml/bind/annotation/XmlElementWrapper,66
Lnet/bytebuddy/build/CachedReturnPlugin$Enhance,65
Lcom/oracle/webservices/api/message/PropertySet$Property,65
Lliquibase/change/DatabaseChange,65
Lorg/assertj/core/internal/bytebuddy/build/CachedReturnPlugin$Enhance,64
Ljakarta/xml/bind/annotation/XmlAccessorType,63
Ljakarta/xml/bind/annotation/XmlRootElement,63
Lcom/google/gwt/uibinder/client/UiField,63
Lnet/shibboleth/utilities/java/support/annotation/constraint/NotLive,62
Lkotlin/annotation/Target,62
Lkanela/agent/libs/net/bytebuddy/asm/Advice$OnMethodExit,62
Lorg/jgroups/annotations/MBean,61
Ljavax/ws/rs/core/Context,61
Ljavax/enterprise/inject/Produces,61
Lcom/google/web/bindery/autobean/shared/AutoBean$PropertyName,61
Lorg/infinispan/factories/annotations/ComponentName,60
Ljsinterop/annotations/JsOverlay,60
Ljavax/enterprise/inject/Typed,60
Lorg/wso2/siddhi/annotation/Extension,60
Lorg/infinispan/jmx/annotations/ManagedOperation,60
Lcom/beust/jcommander/Parameter,60
Lgroovyjarjarpicocli/CommandLine$Option,59
Lorg/apache/yetus/audience/InterfaceStability$Evolving,59
Lorg/springframework/transaction/annotation/Transactional,59
Lorg/elasticsearch/common/SuppressForbidden,58
Lakka/annotation/InternalStableApi,58
Ljavax/enterprise/util/Nonbinding,58
Lorg/springframework/core/annotation/Order,58
Ljavax/ws/rs/Path,58
Ljavax/annotation/concurrent/ThreadSafe,57
